,year,week,SMN,SMT,VCI,TCI,VHI,ind
0,1981,36,0.342,287.92,28.88,75.78,52.33,15
1,1981,37,0.34,288.25,38.53,56.95,47.74,15
2,1981,38,0.33299999999999996,288.05,42.95,45.48,44.21,15
3,1981,39,0.321,287.24,45.02,40.22,42.62,15
4,1981,40,0.302,285.85,43.75,39.93,41.84,15
5,1981,41,0.276,283.77,41.0,42.93,41.97,15
6,1981,42,0.245,280.88,39.62,52.69,46.15,15
7,1981,43,0.209,277.24,36.46,63.88,50.17,15
8,1981,44,0.172,273.3,30.6,70.55,50.58,15
9,1981,45,0.135,269.05,22.29,76.35,49.32,15
10,1981,46,0.10800000000000001,265.29,18.48,79.53,49.0,15
11,1981,47,0.09300000000000001,262.28,19.31,81.49,50.4,15
12,1981,48,0.083,259.91,22.31,82.63,52.47,15
13,1981,49,0.073,257.59,21.15,83.58,52.36,15
14,1981,50,0.067,255.52,21.08,84.18,52.63,15
15,1981,51,0.062,254.04,22.58,84.69,53.64,15
16,1981,52,0.059000000000000004,253.59,22.88,83.96,53.42,15
17,1982,1,0.057999999999999996,254.19,24.78,81.74,53.26,15
18,1982,2,0.057,255.7,26.94,78.59,52.76,15
19,1982,3,0.055999999999999994,258.26,27.35,70.35,48.85,15
20,1982,4,0.054000000000000006,260.76,25.28,62.07,43.68,15
21,1982,5,0.052000000000000005,262.59,21.87,59.53,40.7,15
22,1982,6,0.052000000000000005,263.85,19.82,59.35,39.58,15
23,1982,7,0.055999999999999994,265.58,19.94,56.29,38.12,15
24,1982,8,0.063,268.1,21.93,51.7,36.82,15
25,1982,9,0.07200000000000001,270.8,24.18,47.9,36.04,15
26,1982,10,0.085,273.96,27.24,43.12,35.18,15
27,1982,11,0.099,276.59,28.94,41.62,35.28,15
28,1982,12,0.113,279.09,28.77,42.46,35.62,15
29,1982,13,0.126,280.75,25.04,45.47,35.26,15
30,1982,14,0.139,281.57,18.22,56.38,37.3,15
31,1982,15,0.14800000000000002,282.48,9.71,68.53,39.12,15
32,1982,16,0.16699999999999998,283.56,6.13,77.46,41.79,15
33,1982,17,0.196,285.2,6.18,78.76,42.47,15
34,1982,18,0.22899999999999998,286.83,7.71,76.7,42.2,15
35,1982,19,0.273,288.7,12.54,68.36,40.45,15
36,1982,20,0.32,290.51,19.59,57.6,38.6,15
37,1982,21,0.361,291.45,26.09,55.6,40.84,15
38,1982,22,0.38299999999999995,291.79,27.27,55.36,41.31,15
39,1982,23,0.391,291.92,26.12,53.82,39.97,15
40,1982,24,0.389,291.78,22.97,55.62,39.29,15
41,1982,25,0.39299999999999996,291.68,23.6,58.0,40.8,15
42,1982,26,0.396,291.93,23.39,57.07,40.23,15
43,1982,27,0.39899999999999997,292.37,24.11,56.15,40.13,15
44,1982,28,0.401,293.01,26.16,53.7,39.93,15
45,1982,29,0.409,293.68,32.09,50.01,41.05,15
46,1982,30,0.41,294.15,35.82,47.86,41.84,15
47,1982,31,0.401,294.43,32.63,41.57,37.1,15
48,1982,32,0.39299999999999996,294.49,28.89,36.95,32.92,15
