,year,week,SMN,SMT,VCI,TCI,VHI,ind
0,1981,36,0.19899999999999998,296.46,15.74,61.48,38.61,6
1,1981,37,0.18899999999999997,295.69,17.77,49.48,33.63,6
2,1981,38,0.17800000000000002,294.4,20.58,42.13,31.35,6
3,1981,39,0.165,292.4,23.58,40.1,31.84,6
4,1981,40,0.15,289.63,25.78,44.64,35.21,6
5,1981,41,0.134,285.82,26.73,54.74,40.74,6
6,1981,42,0.115,280.59,25.84,73.65,49.75,6
7,1981,43,0.094,275.67,24.46,79.66,52.06,6
8,1981,44,0.075,270.14,21.68,84.0,52.84,6
9,1981,45,0.064,264.14,21.06,90.18,55.62,6
10,1981,46,0.055999999999999994,258.2,22.18,93.19,57.69,6
11,1981,47,0.052000000000000005,254.27,23.97,92.76,58.37,6
12,1981,48,0.049,251.74,26.24,89.91,58.08,6
13,1981,49,0.046,250.06,27.22,86.63,56.93,6
14,1981,50,0.044000000000000004,248.34,28.67,86.45,57.56,6
15,1981,51,0.042,248.77,32.18,83.62,57.9,6
16,1981,52,0.04,251.14,38.23,75.03,56.63,6
17,1982,1,0.038,253.37,46.09,65.49,55.79,6
18,1982,2,0.036000000000000004,254.53,44.28,59.57,51.93,6
19,1982,3,0.034,255.68,41.53,54.36,47.95,6
20,1982,4,0.033,257.9,38.8,47.6,43.2,6
21,1982,5,0.032,259.33,35.55,46.42,40.98,6
22,1982,6,0.03,259.42,29.08,52.45,40.76,6
23,1982,7,0.028999999999999998,259.7,22.35,57.33,39.84,6
24,1982,8,0.03,261.96,20.12,55.84,37.98,6
25,1982,9,0.03,264.06,16.7,56.61,36.65,6
26,1982,10,0.031,266.95,14.54,57.21,35.87,6
27,1982,11,0.037000000000000005,270.29,16.12,58.43,37.27,6
28,1982,12,0.047,274.32,19.62,55.35,37.48,6
29,1982,13,0.062,278.97,24.48,48.13,36.31,6
30,1982,14,0.07400000000000001,282.85,24.88,40.44,32.66,6
31,1982,15,0.08900000000000001,285.96,24.86,37.25,31.05,6
32,1982,16,0.11199999999999999,288.36,26.61,38.45,32.53,6
33,1982,17,0.14,290.42,27.59,43.21,35.4,6
34,1982,18,0.174,292.1,29.12,52.26,40.69,6
35,1982,19,0.221,293.78,33.71,60.03,46.87,6
36,1982,20,0.27399999999999997,295.56,40.8,60.25,50.52,6
37,1982,21,0.321,296.98,47.68,58.54,53.11,6
38,1982,22,0.355,297.22,50.89,62.67,56.78,6
39,1982,23,0.37200000000000005,297.38,50.21,67.45,58.83,6
40,1982,24,0.374,297.12,48.44,78.07,63.26,6
41,1982,25,0.371,296.8,48.61,88.19,68.4,6
42,1982,26,0.369,297.12,51.63,89.73,70.68,6
43,1982,27,0.359,296.86,48.34,91.8,70.07,6
44,1982,28,0.353,296.86,50.28,90.8,70.54,6
45,1982,29,0.35,296.91,53.2,90.9,72.05,6
46,1982,30,0.348,297.01,57.08,90.5,73.79,6
47,1982,31,0.341,297.16,59.62,88.77,74.19,6
48,1982,32,0.335,297.71,62.02,81.88,71.95,6
49,1982,33,0.32799999999999996,297.98,63.08,76.4,69.74,6
50,1982,34,0.32,298.06,65.07,70.81,67.94,6
51,1982,35,0.308,297.83,66.86,64.68,65.77,6
52,1982,36,0.29100000000000004,297.01,65.85,57.54,61.69,6
53,1982,37,0.267,295.7,61.97,51.16,56.56,6
54,1982,38,0.243,294.01,58.91,48.12,53.51,6
55,1982,39,0.213,292.34,52.4,42.35,47.38,6
56,1982,40,0.18100000000000002,290.13,42.96,41.09,42.02,6
57,1982,41,0.15,287.63,35.35,38.19,36.77,6
58,1982,42,0.125,285.19,31.85,32.94,32.4,6
59,1982,43,0.106,282.19,30.85,32.4,31.63,6
60,1982,44,0.09,279.53,29.95,28.62,29.28,6
61,1982,45,0.076,276.39,28.25,28.52,28.39,6
62,1982,46,0.064,272.58,27.33,31.6,29.46,6
63,1982,47,0.055999999999999994,268.75,27.06,35.6,31.33,6
64,1982,48,0.049,264.81,26.31,40.15,33.23,6
65,1982,49,0.045,261.48,25.79,43.21,34.5,6
66,1982,50,0.042,258.19,26.96,48.14,37.55,6
67,1982,51,0.042,255.83,32.65,55.19,43.92,6
68,1982,52,0.042,254.54,40.5,60.62,50.56,6
69,1983,1,0.040999999999999995,254.27,51.23,61.38,56.3,6
70,1983,2,0.04,254.85,50.86,57.64,54.25,6
71,1983,3,0.039,255.78,49.65,52.97,51.31,6
72,1983,4,0.038,256.62,45.89,52.14,49.02,6
73,1983,5,0.036000000000000004,258.61,40.73,48.52,44.62,6
74,1983,6,0.035,260.2,34.39,48.62,41.51,6
75,1983,7,0.035,262.34,28.25,47.5,37.88,6
76,1983,8,0.037000000000000005,264.74,26.49,46.45,36.47,6
77,1983,9,0.039,267.47,24.04,45.28,34.66,6
78,1983,10,0.042,271.88,22.69,40.31,31.5,6
79,1983,11,0.05,277.08,24.6,33.16,28.88,6
80,1983,12,0.06,281.54,26.85,27.49,27.17,6
81,1983,13,0.076,285.62,31.6,22.96,27.28,6
82,1983,14,0.09699999999999999,288.35,35.47,20.19,27.83,6
83,1983,15,0.122,290.62,39.22,19.91,29.56,6
84,1983,16,0.147,291.79,40.89,25.07,32.98,6
85,1983,17,0.177,292.64,41.52,32.59,37.06,6
86,1983,18,0.212,294.11,43.02,39.87,41.44,6
87,1983,19,0.252,295.82,45.68,45.0,45.34,6
88,1983,20,0.292,297.35,48.46,45.83,47.14,6
89,1983,21,0.317,298.4,46.84,46.6,46.72,6
90,1983,22,0.326,298.48,36.78,51.56,44.17,6
91,1983,23,0.32299999999999995,298.69,21.99,55.09,38.54,6
92,1983,24,0.311,298.69,10.87,62.24,36.55,6
93,1983,25,0.297,298.79,6.61,67.7,37.15,6
94,1983,26,0.285,299.12,5.7,69.07,37.39,6
95,1983,27,0.282,299.41,7.56,66.97,37.27,6
96,1983,28,0.275,299.27,10.35,68.24,39.29,6
97,1983,29,0.273,298.92,14.57,72.19,43.38,6
98,1983,30,0.27399999999999997,298.36,20.2,77.72,48.96,6
99,1983,31,0.285,297.85,31.44,82.13,56.79,6
100,1983,32,0.29600000000000004,297.53,42.0,83.38,62.69,6
101,1983,33,0.304,297.33,50.24,82.3,66.27,6
102,1983,34,0.306,297.04,56.57,80.21,68.39,6
103,1983,35,0.302,296.82,62.18,74.69,68.44,6
104,1983,36,0.285,295.76,61.47,70.86,66.17,6
105,1983,37,0.265,294.46,59.67,64.86,62.26,6
106,1983,38,0.247,292.84,60.49,61.44,60.97,6
107,1983,39,0.225,290.33,59.4,64.9,62.15,6
108,1983,40,0.209,288.36,59.23,60.26,59.75,6
109,1983,41,0.19,285.68,57.71,58.15,57.93,6
110,1983,42,0.16899999999999998,282.81,55.43,55.27,55.35,6
111,1983,43,0.142,279.95,50.68,49.89,50.28,6
112,1983,44,0.111,276.68,41.3,46.91,44.11,6
113,1983,45,0.086,272.9,34.13,47.85,40.99,6
114,1983,46,0.07,269.33,30.66,47.17,38.91,6
115,1983,47,0.057999999999999996,266.54,28.12,45.51,36.81,6
116,1983,48,0.051,264.72,27.9,40.77,34.33,6
117,1983,49,0.045,263.37,25.57,35.42,30.49,6
118,1983,50,0.044000000000000004,261.88,28.62,32.57,30.6,6
119,1983,51,0.045,260.36,36.01,35.36,35.68,6
120,1983,52,0.043,258.49,42.69,42.35,42.52,6
121,1984,1,0.044000000000000004,257.66,56.91,45.45,51.18,6
122,1984,2,0.046,257.03,61.54,47.98,54.76,6
123,1984,3,0.046,257.31,61.5,46.96,54.23,6
124,1984,4,0.046,259.45,58.22,40.61,49.41,6
125,1984,5,0.044000000000000004,261.35,53.02,37.88,45.45,6
126,1984,6,0.044000000000000004,263.25,46.35,37.63,41.99,6
127,1984,7,0.045,265.25,39.99,37.96,38.98,6
128,1984,8,0.046,266.88,35.19,39.9,37.54,6
129,1984,9,0.046,269.17,30.49,39.9,35.2,6
130,1984,10,0.047,272.02,26.01,39.88,32.94,6
131,1984,11,0.054000000000000006,275.73,27.11,37.99,32.55,6
132,1984,12,0.066,279.97,30.46,33.35,31.9,6
133,1984,13,0.081,283.78,34.18,29.78,31.98,6
134,1984,14,0.10300000000000001,287.33,38.52,23.86,31.19,6
135,1984,15,0.127,289.73,41.3,23.05,32.17,6
136,1984,16,0.158,291.8,44.72,24.8,34.76,6
137,1984,17,0.2,294.28,50.18,24.79,37.49,6
138,1984,18,0.249,295.75,56.45,30.17,43.31,6
139,1984,19,0.29100000000000004,297.23,60.34,35.19,47.76,6
140,1984,20,0.322,298.52,60.12,37.39,48.75,6
141,1984,21,0.345,299.26,58.5,40.43,49.47,6
142,1984,22,0.354,299.72,50.7,41.94,46.32,6
143,1984,23,0.35,299.3,37.98,50.4,44.19,6
144,1984,24,0.34600000000000003,299.56,31.76,54.37,43.07,6
145,1984,25,0.34,300.61,31.06,49.81,40.43,6
146,1984,26,0.324,300.94,26.54,51.28,38.91,6
147,1984,27,0.301,300.75,17.39,54.58,35.99,6
148,1984,28,0.275,300.5,10.4,57.32,33.86,6
149,1984,29,0.259,300.52,7.63,57.7,32.67,6
150,1984,30,0.24600000000000002,300.36,6.75,59.53,33.14,6
151,1984,31,0.231,299.49,5.47,67.29,36.38,6
152,1984,32,0.221,298.77,6.05,72.03,39.04,6
153,1984,33,0.22,298.45,8.45,72.05,40.25,6
154,1984,34,0.222,298.04,12.57,70.88,41.72,6
155,1984,35,0.21899999999999997,297.51,16.92,67.71,42.31,6
156,1984,36,0.214,296.46,21.44,63.26,42.35,6
157,1984,37,0.21,295.94,28.37,48.36,38.37,6
158,1984,38,0.20199999999999999,295.11,33.87,35.96,34.91,6
159,1984,39,0.187,293.03,36.28,34.91,35.59,6
160,1984,40,0.16699999999999998,290.0,35.34,42.47,38.9,6
161,1984,41,0.153,287.25,36.86,41.97,39.41,6
162,1984,42,0.142,284.77,40.75,37.02,38.88,6
163,1984,43,0.127,281.85,42.19,35.51,38.85,6
164,1984,44,0.111,278.54,41.19,35.18,38.18,6
165,1984,45,0.099,274.75,41.46,37.52,39.49,6
166,1984,46,0.08900000000000001,270.7,42.61,40.2,41.41,6
167,1984,47,0.084,267.9,45.78,39.2,42.49,6
168,1984,48,0.083,266.08,51.52,34.88,43.2,6
169,1984,49,0.08199999999999999,266.52,56.17,22.26,39.21,6
170,1985,9,0.040999999999999995,269.76,24.24,38.14,31.19,6
171,1985,10,0.038,271.04,18.9,43.42,31.16,6
172,1985,11,0.039,272.93,17.35,48.8,33.07,6
173,1985,12,0.044000000000000004,275.7,17.95,50.07,34.01,6
174,1985,13,0.055,279.38,20.67,46.61,33.64,6
