,year,week,SMN,SMT,VCI,TCI,VHI,ind
0,1981,36,0.249,288.57,9.54,87.47,48.5,21
1,1981,37,0.253,288.6,18.3,71.39,44.84,21
2,1981,38,0.26,288.31,31.87,54.01,42.94,21
3,1981,39,0.261,287.4,42.59,42.35,42.47,21
4,1981,40,0.257,285.82,51.91,35.63,43.77,21
5,1981,41,0.244,283.36,59.56,38.57,49.06,21
6,1981,42,0.223,280.59,63.26,46.05,54.66,21
7,1981,43,0.195,277.92,63.32,46.42,54.87,21
8,1981,44,0.161,274.63,57.62,46.58,52.1,21
9,1981,45,0.129,270.24,49.16,54.28,51.72,21
10,1981,46,0.10400000000000001,266.4,42.95,58.15,50.55,21
11,1981,47,0.084,263.14,37.88,60.18,49.03,21
12,1981,48,0.071,260.41,37.32,63.35,50.34,21
13,1981,49,0.061,257.6,35.27,67.86,51.57,21
14,1981,50,0.055999999999999994,254.97,36.21,69.14,52.67,21
15,1981,51,0.053,253.33,37.66,71.55,54.61,21
16,1981,52,0.048,252.91,35.51,70.85,53.18,21
17,1982,1,0.046,253.41,36.09,67.67,51.88,21
18,1982,2,0.045,254.47,38.14,63.53,50.83,21
19,1982,3,0.043,255.75,39.0,59.29,49.14,21
20,1982,4,0.043,257.91,43.21,51.11,47.16,21
21,1982,5,0.042,259.03,41.37,48.49,44.93,21
22,1982,6,0.038,259.83,32.65,49.6,41.12,21
23,1982,7,0.038,261.61,26.26,49.24,37.75,21
24,1982,8,0.040999999999999995,263.97,22.8,47.85,35.33,21
25,1982,9,0.045,266.49,21.59,46.71,34.15,21
26,1982,10,0.052000000000000005,269.43,22.57,45.35,33.96,21
27,1982,11,0.064,272.64,25.8,41.76,33.78,21
28,1982,12,0.081,275.4,30.21,42.88,36.55,21
29,1982,13,0.09300000000000001,277.63,30.38,46.01,38.2,21
30,1982,14,0.102,279.55,27.29,50.27,38.78,21
31,1982,15,0.114,280.96,22.35,58.99,40.67,21
32,1982,16,0.135,282.59,19.35,66.84,43.09,21
33,1982,17,0.163,284.55,17.57,75.37,46.47,21
34,1982,18,0.207,286.79,21.7,78.31,50.0,21
35,1982,19,0.258,288.95,25.56,75.84,50.7,21
36,1982,20,0.307,290.86,27.69,72.49,50.09,21
37,1982,21,0.34600000000000003,291.8,29.07,74.74,51.91,21
38,1982,22,0.375,292.19,28.91,76.84,52.87,21
39,1982,23,0.392,292.34,26.05,81.15,53.6,21
40,1982,24,0.39399999999999996,292.01,17.29,89.77,53.53,21
41,1982,25,0.391,291.81,12.2,95.17,53.69,21
42,1982,26,0.387,291.64,11.37,96.75,54.06,21
43,1982,27,0.381,291.66,11.33,96.48,53.91,21
44,1982,28,0.384,292.12,16.33,94.76,55.55,21
45,1982,29,0.389,292.57,25.94,93.66,59.8,21
46,1982,30,0.395,292.84,37.49,92.82,65.16,21
47,1982,31,0.39899999999999997,293.09,45.94,89.89,67.91,21
48,1982,32,0.39399999999999996,293.25,48.63,86.86,67.75,21
49,1982,33,0.39,293.28,52.37,81.57,66.97,21
50,1982,34,0.382,292.45,55.28,80.32,67.8,21
51,1982,35,0.38,291.79,62.52,74.5,68.51,21
52,1982,36,0.375,291.6,70.04,58.23,64.13,21
53,1982,37,0.358,290.51,73.14,49.38,61.26,21
54,1982,38,0.33799999999999997,288.73,73.76,49.13,61.44,21
55,1982,39,0.306,286.73,67.22,51.02,59.12,21
56,1982,40,0.267,284.55,58.09,50.49,54.29,21
57,1982,41,0.22899999999999998,282.21,51.38,51.33,51.36,21
58,1982,42,0.198,280.13,48.55,50.64,49.59,21
59,1982,43,0.171,277.62,49.04,48.77,48.91,21
60,1982,44,0.15,276.13,51.26,34.91,43.09,21
61,1982,45,0.126,274.67,47.97,24.71,36.34,21
62,1982,46,0.10400000000000001,272.66,43.42,21.84,32.63,21
63,1982,47,0.08199999999999999,270.08,36.25,22.67,29.46,21
64,1982,48,0.068,267.72,33.4,26.57,29.98,21
65,1982,49,0.059000000000000004,265.69,32.43,30.49,31.46,21
66,1982,50,0.053,263.03,32.0,31.69,31.85,21
67,1982,51,0.049,260.74,31.95,38.02,34.98,21
68,1982,52,0.043,259.46,27.81,41.18,34.5,21
69,1983,1,0.04,259.55,27.49,38.76,33.12,21
70,1983,2,0.04,259.97,30.87,36.1,33.48,21
71,1983,3,0.04,260.16,34.35,36.37,35.36,21
72,1983,4,0.038,260.15,34.15,39.54,36.85,21
73,1983,5,0.036000000000000004,260.7,32.25,40.36,36.31,21
74,1983,6,0.035,261.3,27.65,42.86,35.25,21
75,1983,7,0.034,262.33,21.65,46.11,33.88,21
76,1983,8,0.035,263.65,17.48,49.22,33.35,21
77,1983,9,0.038,265.45,16.75,51.18,33.96,21
78,1983,10,0.044000000000000004,268.12,17.44,51.17,34.31,21
79,1983,11,0.052000000000000005,271.3,18.56,48.06,33.31,21
80,1983,12,0.067,274.97,22.88,44.54,33.71,21
81,1983,13,0.09300000000000001,279.52,30.22,34.63,32.43,21
82,1983,14,0.125,283.35,38.61,26.11,32.36,21
83,1983,15,0.158,286.32,43.62,21.62,32.62,21
84,1983,16,0.18600000000000003,288.01,42.75,25.7,34.23,21
