,year,week,SMN,SMT,VCI,TCI,VHI,ind
0,1981,36,0.192,296.36,26.52,73.52,50.02,26
1,1981,37,0.191,296.02,31.32,60.96,46.14,26
2,1981,38,0.18899999999999997,295.19,37.89,52.08,44.99,26
3,1981,39,0.184,293.63,44.86,48.68,46.77,26
4,1981,40,0.17800000000000002,291.34,48.72,48.28,48.5,26
5,1981,41,0.168,288.28,49.04,50.01,49.52,26
6,1981,42,0.154,284.55,47.5,55.05,51.27,26
7,1981,43,0.136,280.88,44.97,56.73,50.85,26
8,1981,44,0.11599999999999999,276.69,39.91,57.42,48.66,26
9,1981,45,0.09699999999999999,272.19,35.41,62.81,49.11,26
10,1981,46,0.08199999999999999,268.11,32.78,67.48,50.13,26
11,1981,47,0.073,265.36,31.73,67.38,49.56,26
12,1981,48,0.067,263.36,31.79,63.61,47.7,26
13,1981,49,0.064,262.31,33.54,57.93,45.73,26
14,1981,50,0.062,261.65,37.12,53.26,45.19,26
15,1981,51,0.06,261.56,42.59,46.95,44.77,26
16,1981,52,0.059000000000000004,261.96,47.16,40.79,43.97,26
17,1982,1,0.055999999999999994,262.27,52.32,38.91,45.61,26
18,1982,2,0.053,262.89,51.85,35.01,43.43,26
19,1982,3,0.052000000000000005,263.78,51.81,32.0,41.91,26
20,1982,4,0.051,264.98,49.19,31.34,40.26,26
21,1982,5,0.049,265.84,43.77,34.11,38.94,26
22,1982,6,0.047,266.65,36.35,37.98,37.17,26
23,1982,7,0.045,267.94,28.65,41.32,34.99,26
24,1982,8,0.047,270.05,26.07,41.95,34.01,26
25,1982,9,0.048,272.25,23.24,42.36,32.8,26
26,1982,10,0.053,274.64,22.37,43.58,32.98,26
27,1982,11,0.064,277.23,25.52,42.9,34.21,26
28,1982,12,0.079,280.57,29.64,39.65,34.64,26
29,1982,13,0.098,284.21,33.97,36.03,35.0,26
30,1982,14,0.115,287.3,35.7,32.04,33.87,26
31,1982,15,0.13,289.33,35.45,32.99,34.22,26
32,1982,16,0.154,291.12,36.47,36.42,36.44,26
33,1982,17,0.183,292.83,37.58,43.61,40.6,26
34,1982,18,0.215,294.0,38.32,56.73,47.52,26
35,1982,19,0.25,295.32,38.78,65.85,52.31,26
36,1982,20,0.285,296.66,41.4,66.26,53.83,26
37,1982,21,0.317,297.75,46.85,66.63,56.74,26
38,1982,22,0.335,298.26,48.39,69.53,58.96,26
39,1982,23,0.33799999999999997,298.31,46.99,73.49,60.24,26
40,1982,24,0.33299999999999996,298.14,44.65,80.54,62.59,26
41,1982,25,0.322,298.12,40.02,86.26,63.14,26
42,1982,26,0.317,298.5,39.06,85.73,62.39,26
43,1982,27,0.307,298.75,36.36,84.22,60.29,26
44,1982,28,0.298,299.03,36.59,80.14,58.37,26
45,1982,29,0.294,299.45,39.97,75.73,57.85,26
46,1982,30,0.294,299.87,45.44,71.29,58.36,26
47,1982,31,0.28600000000000003,300.1,48.68,68.12,58.4,26
48,1982,32,0.276,300.56,49.8,62.72,56.26,26
49,1982,33,0.264,300.83,48.53,58.96,53.74,26
50,1982,34,0.253,300.98,47.18,55.19,51.18,26
51,1982,35,0.237,300.52,43.84,52.67,48.25,26
52,1982,36,0.22,299.44,40.68,48.8,44.74,26
53,1982,37,0.20199999999999999,298.18,36.73,42.96,39.84,26
54,1982,38,0.184,296.38,34.63,42.2,38.42,26
55,1982,39,0.165,294.58,32.66,41.13,36.9,26
56,1982,40,0.14300000000000002,292.42,27.7,39.77,33.73,26
57,1982,41,0.121,289.84,22.99,37.4,30.2,26
58,1982,42,0.105,287.36,21.65,32.36,27.01,26
59,1982,43,0.092,284.5,22.13,31.88,27.01,26
60,1982,44,0.08,281.8,21.82,28.27,25.05,26
61,1982,45,0.069,279.03,20.66,27.69,24.18,26
62,1982,46,0.059000000000000004,275.59,19.97,32.91,26.44,26
63,1982,47,0.052000000000000005,271.89,19.39,39.61,29.5,26
64,1982,48,0.045,267.74,17.89,46.99,32.44,26
65,1982,49,0.04,264.16,17.37,52.37,34.87,26
66,1982,50,0.037000000000000005,260.88,18.69,58.39,38.54,26
67,1982,51,0.036000000000000004,258.37,21.74,61.57,41.65,26
68,1982,52,0.035,257.11,23.93,61.22,42.58,26
69,1983,1,0.034,256.31,27.34,64.44,45.89,26
70,1983,2,0.033,255.85,27.89,65.07,46.48,26
71,1983,3,0.033,255.63,29.76,65.75,47.76,26
72,1983,4,0.033,255.73,29.93,68.5,49.22,26
73,1983,5,0.033,256.93,27.37,69.22,48.3,26
74,1983,6,0.031,257.73,22.63,72.23,47.43,26
75,1983,7,0.031,259.38,17.95,73.51,45.73,26
76,1983,8,0.034,261.96,16.98,71.36,44.17,26
77,1983,9,0.037000000000000005,265.21,16.2,68.01,42.11,26
78,1983,10,0.042,270.04,16.7,60.52,38.61,26
79,1983,11,0.051,275.93,19.36,47.74,33.55,26
80,1983,12,0.062,281.44,21.89,36.03,28.96,26
81,1983,13,0.08,286.35,26.24,27.27,26.75,26
82,1983,14,0.1,289.44,29.82,23.0,26.41,26
83,1983,15,0.122,291.87,32.18,21.38,26.78,26
84,1983,16,0.14400000000000002,293.61,32.78,23.66,28.22,26
85,1983,17,0.17,295.44,32.6,26.67,29.63,26
86,1983,18,0.2,297.39,32.33,29.54,30.94,26
87,1983,19,0.226,298.68,28.99,35.37,32.18,26
88,1983,20,0.24600000000000002,299.84,25.01,36.36,30.68,26
89,1983,21,0.259,300.89,20.77,37.5,29.14,26
90,1983,22,0.262,301.33,13.52,41.5,27.51,26
91,1983,23,0.258,301.18,7.21,46.99,27.1,26
92,1983,24,0.253,300.91,5.02,54.28,29.65,26
93,1983,25,0.253,301.2,6.18,57.47,31.82,26
94,1983,26,0.254,301.27,8.3,60.82,34.56,26
95,1983,27,0.257,301.22,12.26,63.11,37.69,26
96,1983,28,0.256,300.85,16.94,65.15,41.05,26
97,1983,29,0.258,300.35,22.65,68.33,45.49,26
98,1983,30,0.261,299.72,29.41,72.26,50.84,26
99,1983,31,0.27,299.11,40.42,75.63,58.03,26
100,1983,32,0.27699999999999997,298.85,50.13,75.93,63.03,26
101,1983,33,0.28300000000000003,298.76,57.8,75.08,66.44,26
102,1983,34,0.281,298.63,61.5,73.93,67.71,26
103,1983,35,0.275,298.82,63.13,66.75,64.94,26
104,1983,36,0.255,297.79,59.06,62.78,60.92,26
105,1983,37,0.235,296.97,54.68,53.9,54.29,26
106,1983,38,0.21600000000000003,295.75,52.44,48.53,50.48,26
107,1983,39,0.19399999999999998,293.62,49.19,51.14,50.16,26
108,1983,40,0.17600000000000002,291.79,46.22,46.54,46.38,26
109,1983,41,0.159,289.05,43.14,45.57,44.36,26
110,1983,42,0.142,286.02,40.35,44.99,42.67,26
111,1983,43,0.12,282.4,35.94,48.05,41.99,26
112,1983,44,0.095,278.55,29.01,48.27,38.64,26
113,1983,45,0.078,274.93,24.96,50.39,37.67,26
114,1983,46,0.067,271.53,23.81,53.56,38.69,26
115,1983,47,0.059000000000000004,268.41,23.28,56.34,39.81,26
116,1983,48,0.055,266.16,24.31,54.07,39.19,26
117,1983,49,0.049,264.28,23.82,51.87,37.84,26
118,1983,50,0.048,262.67,26.86,51.09,38.98,26
119,1983,51,0.046,260.75,30.54,52.24,41.39,26
120,1983,52,0.044000000000000004,258.79,31.9,55.32,43.61,26
121,1984,1,0.044000000000000004,258.66,38.09,55.77,46.93,26
122,1984,2,0.045,258.9,42.03,53.58,47.8,26
123,1984,3,0.045,259.49,43.85,51.59,47.72,26
124,1984,4,0.044000000000000004,260.67,42.09,50.29,46.19,26
125,1984,5,0.042,262.37,37.74,49.03,43.38,26
126,1984,6,0.043,265.2,33.24,44.26,38.75,26
127,1984,7,0.044000000000000004,267.97,28.33,41.92,35.13,26
128,1984,8,0.045,269.88,24.88,43.34,34.11,26
129,1984,9,0.045,271.76,21.43,44.78,33.11,26
130,1984,10,0.045,273.9,18.52,46.51,32.51,26
131,1984,11,0.054000000000000006,277.1,20.64,43.02,31.83,26
132,1984,12,0.066,280.69,23.59,38.61,31.1,26
133,1984,13,0.08199999999999999,284.01,26.82,36.78,31.8,26
134,1984,14,0.106,287.29,31.97,32.29,32.13,26
135,1984,15,0.134,289.81,36.51,31.32,33.91,26
136,1984,16,0.16699999999999998,291.64,40.83,34.47,37.65,26
137,1984,17,0.20800000000000002,293.55,45.83,39.8,42.81,26
138,1984,18,0.25,294.76,50.68,51.26,50.97,26
139,1984,19,0.28600000000000003,296.4,52.92,56.8,54.86,26
140,1984,20,0.312,297.85,52.8,56.0,54.4,26
141,1984,21,0.32899999999999996,298.7,51.95,58.34,55.14,26
142,1984,22,0.331,299.18,46.26,61.56,53.91,26
143,1984,23,0.324,299.17,39.04,65.96,52.5,26
144,1984,24,0.318,299.85,36.8,65.17,50.99,26
145,1984,25,0.308,300.87,33.48,61.95,47.71,26
146,1984,26,0.292,301.33,26.45,61.62,44.04,26
147,1984,27,0.27399999999999997,301.74,19.89,59.85,39.87,26
