,year,week,SMN,SMT,VCI,TCI,VHI,ind
0,1981,36,0.251,290.09,11.33,76.44,43.88,11
1,1981,37,0.255,290.35,21.33,59.09,40.21,11
2,1981,38,0.259,290.22,32.32,40.28,36.3,11
3,1981,39,0.261,289.44,42.58,25.49,34.04,11
4,1981,40,0.258,287.96,51.72,19.61,35.66,11
5,1981,41,0.248,285.56,59.17,23.08,41.12,11
6,1981,42,0.231,282.51,62.97,36.38,49.67,11
7,1981,43,0.205,279.3,60.99,46.27,53.63,11
8,1981,44,0.171,275.89,54.7,46.53,50.61,11
9,1981,45,0.14,272.61,46.99,47.46,47.23,11
10,1981,46,0.11800000000000001,270.02,45.05,45.85,45.45,11
11,1981,47,0.10300000000000001,267.56,47.47,45.21,46.34,11
12,1981,48,0.09300000000000001,265.8,48.46,45.53,47.0,11
13,1981,49,0.084,264.25,46.39,45.93,46.16,11
14,1981,50,0.08,262.58,50.4,47.36,48.88,11
15,1981,51,0.077,261.38,52.39,45.97,49.18,11
16,1981,52,0.07400000000000001,261.23,54.4,42.4,48.4,11
17,1982,1,0.077,262.5,61.42,34.11,47.76,11
18,1982,2,0.084,264.78,67.23,24.0,45.62,11
19,1982,3,0.086,265.88,67.65,20.41,44.03,11
20,1982,4,0.084,266.9,65.13,19.09,42.11,11
21,1982,5,0.078,266.89,55.58,25.02,40.3,11
22,1982,6,0.07400000000000001,267.4,46.31,29.78,38.04,11
23,1982,7,0.07200000000000001,268.56,39.36,30.87,35.11,11
24,1982,8,0.073,269.94,35.92,31.5,33.71,11
25,1982,9,0.075,271.37,33.32,32.62,32.97,11
26,1982,10,0.08,273.17,30.7,33.84,32.27,11
27,1982,11,0.092,275.25,31.51,32.31,31.91,11
28,1982,12,0.105,277.25,31.32,36.25,33.78,11
29,1982,13,0.115,278.87,27.75,42.18,34.96,11
30,1982,14,0.124,280.35,21.7,49.95,35.82,11
31,1982,15,0.136,281.65,14.57,63.44,39.01,11
32,1982,16,0.162,283.34,13.11,74.74,43.93,11
33,1982,17,0.196,285.43,15.05,81.38,48.22,11
34,1982,18,0.253,288.41,26.76,77.52,52.14,11
35,1982,19,0.306,290.87,36.29,69.82,53.06,11
36,1982,20,0.344,292.39,39.93,66.86,53.4,11
37,1982,21,0.37,292.89,40.35,69.42,54.88,11
38,1982,22,0.385,292.87,37.51,72.23,54.87,11
39,1982,23,0.391,292.79,32.86,74.89,53.87,11
40,1982,24,0.391,292.69,28.93,78.15,53.54,11
41,1982,25,0.39,292.63,26.52,82.49,54.51,11
42,1982,26,0.38799999999999996,292.56,24.63,84.99,54.81,11
43,1982,27,0.391,292.92,27.5,83.86,55.68,11
44,1982,28,0.396,293.41,35.44,81.24,58.34,11
45,1982,29,0.401,293.84,43.99,79.66,61.82,11
46,1982,30,0.39799999999999996,294.02,47.81,79.63,63.72,11
47,1982,31,0.395,294.33,48.91,76.11,62.51,11
48,1982,32,0.389,294.52,47.91,71.25,59.58,11
49,1982,33,0.385,294.49,49.4,65.27,57.34,11
50,1982,34,0.381,294.34,54.26,57.31,55.78,11
51,1982,35,0.377,293.86,61.34,49.22,55.28,11
52,1982,36,0.369,293.13,67.77,41.74,54.76,11
53,1982,37,0.353,292.07,71.33,37.75,54.54,11
54,1982,38,0.33799999999999997,290.49,74.27,36.85,55.56,11
55,1982,39,0.314,288.69,72.48,36.12,54.3,11
56,1982,40,0.282,286.76,66.92,35.47,51.2,11
57,1982,41,0.24600000000000002,284.72,57.93,34.19,46.06,11
58,1982,42,0.213,282.78,50.97,33.15,42.06,11
59,1982,43,0.187,280.67,49.75,32.29,41.02,11
60,1982,44,0.166,278.85,50.45,19.94,35.2,11
61,1982,45,0.142,277.07,47.39,15.58,31.48,11
62,1982,46,0.124,274.88,48.69,17.14,32.91,11
63,1982,47,0.105,272.56,47.66,20.03,33.85,11
64,1982,48,0.08800000000000001,269.78,42.81,28.37,35.59,11
65,1982,49,0.071,266.91,33.31,35.51,34.41,11
66,1982,50,0.061,264.2,29.1,40.93,35.02,11
67,1982,51,0.06,262.45,33.61,41.46,37.54,11
68,1982,52,0.057999999999999996,261.91,35.67,39.35,37.51,11
69,1983,1,0.055999999999999994,262.28,36.5,34.43,35.47,11
70,1983,2,0.055999999999999994,262.95,35.56,30.71,33.14,11
71,1983,3,0.057999999999999996,263.67,38.44,28.74,33.59,11
72,1983,4,0.061,264.19,42.13,29.49,35.81,11
73,1983,5,0.061,264.16,40.42,35.2,37.81,11
74,1983,6,0.059000000000000004,264.1,35.26,41.97,38.61,11
75,1983,7,0.06,264.66,31.77,45.78,38.77,11
76,1983,8,0.064,265.74,30.65,48.16,39.41,11
77,1983,9,0.07200000000000001,267.32,31.86,49.02,40.44,11
78,1983,10,0.084,269.56,33.54,48.76,41.15,11
79,1983,11,0.099,272.46,35.78,44.52,40.15,11
80,1983,12,0.11900000000000001,275.73,38.7,43.18,40.94,11
81,1983,13,0.14400000000000002,279.21,42.99,40.88,41.93,11
82,1983,14,0.171,282.3,46.85,38.83,42.84,11
83,1983,15,0.203,285.11,50.88,39.58,45.23,11
84,1983,16,0.235,287.26,52.0,45.13,48.56,11
85,1983,17,0.272,289.54,54.2,46.36,50.28,11
86,1983,18,0.306,291.3,54.32,49.04,51.68,11
87,1983,19,0.336,292.72,53.39,50.5,51.94,11
88,1983,20,0.36,293.8,49.64,52.32,50.98,11
89,1983,21,0.375,294.32,44.37,55.0,49.69,11
90,1983,22,0.392,294.81,43.05,53.17,48.11,11
91,1983,23,0.39799999999999996,294.73,39.1,55.96,47.53,11
92,1983,24,0.39299999999999996,294.25,31.22,62.68,46.95,11
93,1983,25,0.389,294.21,26.93,66.1,46.52,11
94,1983,26,0.38799999999999996,294.42,25.5,65.14,45.32,11
95,1983,27,0.382,294.47,22.63,67.02,44.82,11
96,1983,28,0.366,294.2,17.63,72.54,45.09,11
97,1983,29,0.34600000000000003,293.94,12.8,77.9,45.35,11
98,1983,30,0.32899999999999996,293.85,10.93,80.46,45.7,11
99,1983,31,0.326,293.83,12.15,80.49,46.32,11
100,1983,32,0.332,293.94,15.79,77.2,46.5,11
101,1983,33,0.33799999999999997,293.99,22.28,70.96,46.62,11
102,1983,34,0.33799999999999997,294.05,29.75,60.94,45.34,11
103,1983,35,0.34,294.29,41.37,43.62,42.49,11
104,1983,36,0.32799999999999996,293.48,46.42,37.27,41.85,11
105,1983,37,0.309,292.27,48.65,35.22,41.94,11
106,1983,38,0.289,290.8,48.18,32.65,40.42,11
107,1983,39,0.265,288.63,45.38,36.99,41.18,11
108,1983,40,0.244,286.68,43.28,36.39,39.83,11
109,1983,41,0.21899999999999997,284.43,39.96,38.03,39.0,11
