,year,week,SMN,SMT,VCI,TCI,VHI,ind
0,1981,36,0.244,291.61,19.94,82.23,51.08,18
1,1981,37,0.25,291.4,31.42,66.43,48.92,18
2,1981,38,0.254,290.75,43.65,54.65,49.15,18
3,1981,39,0.254,289.5,53.91,46.28,50.1,18
4,1981,40,0.249,287.54,62.42,42.35,52.39,18
5,1981,41,0.23800000000000002,284.82,68.53,44.76,56.65,18
6,1981,42,0.22,281.66,72.81,51.85,62.33,18
7,1981,43,0.19699999999999998,278.33,74.28,56.38,65.33,18
8,1981,44,0.168,274.71,70.1,56.26,63.18,18
9,1981,45,0.135,270.2,60.35,63.15,61.75,18
10,1981,46,0.11,266.14,53.81,67.08,60.44,18
11,1981,47,0.091,262.73,49.77,68.47,59.12,18
12,1981,48,0.079,260.21,49.0,69.83,59.41,18
13,1981,49,0.069,257.97,46.06,72.3,59.18,18
14,1981,50,0.063,256.36,46.99,70.76,58.87,18
15,1981,51,0.057,255.15,47.33,69.52,58.43,18
16,1981,52,0.049,254.76,46.37,66.55,56.46,18
17,1982,1,0.044000000000000004,255.31,46.66,61.44,54.05,18
18,1982,2,0.042,257.37,45.34,51.39,48.37,18
19,1982,3,0.040999999999999995,259.08,43.25,45.76,44.5,18
20,1982,4,0.039,260.68,41.6,41.89,41.74,18
21,1982,5,0.037000000000000005,261.76,37.0,41.55,39.27,18
22,1982,6,0.035,262.61,30.84,41.41,36.13,18
23,1982,7,0.035,264.26,26.19,38.87,32.53,18
24,1982,8,0.039,266.23,24.51,37.31,30.91,18
25,1982,9,0.043,268.15,23.93,37.03,30.48,18
26,1982,10,0.05,270.5,23.99,37.35,30.67,18
27,1982,11,0.064,273.53,27.15,36.09,31.62,18
28,1982,12,0.083,276.53,31.95,37.51,34.73,18
29,1982,13,0.09699999999999999,278.8,33.44,42.2,37.82,18
30,1982,14,0.106,280.58,31.14,48.1,39.62,18
31,1982,15,0.11599999999999999,281.99,25.52,57.43,41.47,18
32,1982,16,0.136,283.31,23.07,68.0,45.53,18
33,1982,17,0.165,284.99,22.81,80.26,51.53,18
34,1982,18,0.212,287.35,28.38,86.46,57.42,18
35,1982,19,0.27399999999999997,290.03,37.11,84.97,61.04,18
36,1982,20,0.326,292.13,43.08,81.96,62.52,18
37,1982,21,0.365,293.22,47.48,82.61,65.05,18
38,1982,22,0.387,293.64,47.19,83.21,65.2,18
39,1982,23,0.395,293.76,41.91,85.54,63.73,18
40,1982,24,0.39,293.48,30.88,91.33,61.11,18
41,1982,25,0.37799999999999995,293.3,21.55,94.89,58.22,18
42,1982,26,0.369,293.33,18.43,95.59,57.01,18
43,1982,27,0.358,293.48,15.81,94.5,55.15,18
44,1982,28,0.355,293.86,18.01,92.01,55.01,18
45,1982,29,0.354,294.21,23.02,91.92,57.47,18
46,1982,30,0.353,294.53,29.33,92.22,60.78,18
47,1982,31,0.35200000000000004,294.92,33.81,89.59,61.7,18
48,1982,32,0.348,295.32,37.34,83.91,60.63,18
49,1982,33,0.34600000000000003,295.52,43.84,78.11,60.98,18
50,1982,34,0.34299999999999997,295.12,50.51,74.16,62.34,18
51,1982,35,0.34,294.6,58.5,67.64,63.07,18
52,1982,36,0.332,294.17,63.99,55.14,59.56,18
53,1982,37,0.313,292.99,64.52,47.97,56.24,18
54,1982,38,0.292,291.29,63.22,49.05,56.14,18
55,1982,39,0.262,289.44,58.27,48.35,53.31,18
56,1982,40,0.22699999999999998,287.21,50.85,47.8,49.33,18
57,1982,41,0.192,284.6,43.9,48.78,46.34,18
58,1982,42,0.162,282.32,40.24,45.51,42.87,18
59,1982,43,0.14,279.78,41.08,44.16,42.62,18
60,1982,44,0.124,277.85,43.38,32.46,37.92,18
61,1982,45,0.107,276.09,42.32,24.05,33.19,18
62,1982,46,0.092,273.88,41.68,22.89,32.29,18
63,1982,47,0.075,270.82,37.32,26.15,31.73,18
64,1982,48,0.064,267.61,35.6,33.51,34.55,18
65,1982,49,0.055999999999999994,264.44,34.32,42.63,38.47,18
66,1982,50,0.051,261.1,33.3,49.74,41.52,18
67,1982,51,0.047,258.64,36.01,54.29,45.15,18
68,1982,52,0.045,257.51,39.84,54.84,47.34,18
69,1983,1,0.043,258.11,44.14,49.49,46.81,18
70,1983,2,0.040999999999999995,258.88,43.37,44.85,44.11,18
71,1983,3,0.040999999999999995,259.58,43.38,43.51,43.45,18
72,1983,4,0.040999999999999995,259.93,42.56,44.85,43.71,18
73,1983,5,0.039,260.33,39.01,47.1,43.06,18
74,1983,6,0.036000000000000004,260.58,31.86,48.84,40.35,18
75,1983,7,0.035,261.55,25.81,48.27,37.04,18
76,1983,8,0.038,263.17,23.61,47.8,35.7,18
77,1983,9,0.040999999999999995,265.43,23.08,46.21,34.65,18
78,1983,10,0.05,268.69,23.63,43.76,33.69,18
79,1983,11,0.06,272.91,24.91,38.32,31.61,18
