,year,week,SMN,SMT,VCI,TCI,VHI,ind
0,1981,36,0.212,296.91,23.62,50.64,37.13,14
1,1981,37,0.20199999999999999,295.86,26.69,39.11,32.9,14
2,1981,38,0.18899999999999997,294.29,27.69,32.01,29.85,14
3,1981,39,0.17300000000000001,292.18,26.62,30.19,28.41,14
4,1981,40,0.156,289.46,24.71,32.74,28.73,14
5,1981,41,0.139,285.91,23.34,41.01,32.18,14
6,1981,42,0.11800000000000001,280.93,21.39,62.08,41.73,14
7,1981,43,0.09699999999999999,275.92,20.03,73.6,46.81,14
8,1981,44,0.075,270.39,16.49,82.38,49.43,14
9,1981,45,0.061,264.4,14.94,88.75,51.84,14
10,1981,46,0.053,258.62,16.27,91.3,53.79,14
11,1981,47,0.047,254.07,17.69,90.99,54.34,14
12,1981,48,0.044000000000000004,250.86,20.32,90.13,55.23,14
13,1981,49,0.042,248.67,22.97,90.41,56.69,14
14,1981,50,0.04,247.16,26.96,90.33,58.64,14
15,1981,51,0.038,246.63,30.16,90.0,60.08,14
16,1981,52,0.037000000000000005,247.68,36.55,86.61,61.58,14
17,1982,1,0.036000000000000004,249.48,40.51,79.9,60.21,14
18,1982,2,0.034,251.07,40.82,71.85,56.33,14
19,1982,3,0.032,252.56,38.21,64.53,51.37,14
20,1982,4,0.03,254.76,32.74,55.45,44.1,14
21,1982,5,0.027000000000000003,256.18,26.61,53.62,40.12,14
22,1982,6,0.025,256.78,20.92,56.9,38.91,14
23,1982,7,0.023,257.77,16.45,59.41,37.93,14
24,1982,8,0.023,259.79,14.29,58.13,36.21,14
25,1982,9,0.02,261.6,10.69,58.04,34.36,14
26,1982,10,0.021,264.07,8.59,57.77,33.18,14
27,1982,11,0.026000000000000002,267.42,9.68,56.38,33.03,14
28,1982,12,0.036000000000000004,271.31,13.39,53.2,33.29,14
29,1982,13,0.052000000000000005,276.27,18.67,45.59,32.13,14
30,1982,14,0.065,280.23,20.07,40.6,30.33,14
31,1982,15,0.084,283.38,21.91,39.52,30.72,14
32,1982,16,0.11,285.97,25.05,42.96,34.0,14
33,1982,17,0.14,288.4,26.32,50.59,38.46,14
34,1982,18,0.177,290.36,29.12,61.93,45.53,14
35,1982,19,0.231,292.48,36.79,68.35,52.57,14
36,1982,20,0.287,294.66,44.19,67.78,55.98,14
37,1982,21,0.335,296.02,50.5,68.46,59.48,14
38,1982,22,0.37,296.17,55.33,71.84,63.58,14
39,1982,23,0.386,296.28,58.08,76.75,67.41,14
40,1982,24,0.38799999999999996,296.11,58.77,86.72,72.74,14
41,1982,25,0.385,295.77,58.6,94.47,76.53,14
42,1982,26,0.387,296.06,62.49,95.39,78.94,14
43,1982,27,0.379,295.83,61.31,96.37,78.84,14
44,1982,28,0.376,295.9,63.24,96.04,79.64,14
45,1982,29,0.373,295.97,65.86,97.0,81.43,14
46,1982,30,0.37200000000000005,296.01,69.99,97.04,83.52,14
47,1982,31,0.365,296.12,73.07,95.51,84.29,14
48,1982,32,0.358,296.49,75.21,92.14,83.67,14
49,1982,33,0.35,296.68,76.82,87.98,82.4,14
50,1982,34,0.34299999999999997,296.8,79.16,80.66,79.91,14
51,1982,35,0.32799999999999996,296.49,79.95,72.71,76.33,14
52,1982,36,0.308,295.58,77.67,63.83,70.75,14
53,1982,37,0.282,294.25,72.51,55.06,63.79,14
54,1982,38,0.255,292.59,65.31,50.18,57.75,14
55,1982,39,0.223,290.96,53.62,43.39,48.51,14
56,1982,40,0.18600000000000003,289.02,40.0,37.34,38.67,14
57,1982,41,0.154,286.61,30.72,34.02,32.37,14
